"Source:","C:\Users\felip\OneDrive\Documents\KiCad\SafetyPCB\SafetyPCB.kicad_sch"
"Date:","11/5/2022 12:25:50 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ARROW PART NUMBER","ARROW PRICE/STOCK","DATASHEET LINK","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER"
"","","C1","~","Sheet1-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C2","~","Sheet1-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C3","C0603C104K3RACTU","SafetyPCB-altium-import:2_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C4","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C5","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C6","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C7","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C8","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C10","C0603C104K3RACTU","SafetyPCB-altium-import:0_06035A200KAT2A","CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"","","C11","C0603C104K3RACTU","SafetyPCB-altium-import:0_06035A200KAT2A","CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
